"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Perl", "TypeScript", "Markdown", "Groovy", "YAML", "comment", "blank", "total"
"d:\ttlab\qr-code-backend\docker\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 32, 2, 1, 35
"d:\ttlab\qr-code-backend\nest-cli.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\ttlab\qr-code-backend\nodemon.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\ttlab\qr-code-backend\package.json", "JSON", 0, 106, 0, 0, 0, 0, 0, 0, 0, 1, 107
"d:\ttlab\qr-code-backend\src\app.controller.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 0, 25, 13, 78
"d:\ttlab\qr-code-backend\src\app.module.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 2, 47
"d:\ttlab\qr-code-backend\src\common\base\controller.base.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"d:\ttlab\qr-code-backend\src\common\base\dto.base.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 6, 33
"d:\ttlab\qr-code-backend\src\common\base\index.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\ttlab\qr-code-backend\src\common\base\interface.base.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"d:\ttlab\qr-code-backend\src\common\base\query-builder.base.ts", "TypeScript", 0, 0, 0, 0, 133, 0, 0, 0, 1, 20, 154
"d:\ttlab\qr-code-backend\src\common\base\repository.base.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 0, 2, 9, 65
"d:\ttlab\qr-code-backend\src\common\base\service.base.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 0, 12, 19, 85
"d:\ttlab\qr-code-backend\src\common\boilerplate.polyfill.ts", "TypeScript", 0, 0, 0, 0, 131, 0, 0, 0, 86, 42, 259
"d:\ttlab\qr-code-backend\src\common\config\config-key.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 2, 29
"d:\ttlab\qr-code-backend\src\common\config\validation-schema.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 7, 52
"d:\ttlab\qr-code-backend\src\common\constants\common.constants.ts", "TypeScript", 0, 0, 0, 0, 104, 0, 0, 0, 1, 33, 138
"d:\ttlab\qr-code-backend\src\common\constants\http-status.constant.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\ttlab\qr-code-backend\src\common\constants\index.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\ttlab\qr-code-backend\src\common\constants\permission.constant.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"d:\ttlab\qr-code-backend\src\common\decorators\common.decorator.ts", "TypeScript", 0, 0, 0, 0, 53, 0, 0, 0, 1, 6, 60
